parentCompound,saltName,canIsoSmiles,molWt,nHeavyAtoms,saltType
lithium,lithium salt,[Li+],6.941,1,inorganic
sodium,sodium salt,[Na+],22.99,1,inorganic
potassium,potassium salt,[K+],39.098,1,inorganic
beryllium,beryllium salt,[Be+2],9.012,1,inorganic
magnesium,magnesium salt,[Mg+2],24.305,1,inorganic
calcium,calcium salt,[Ca+2],40.078,1,inorganic
barium,barium salt,[Ba+2],137.328,1,inorganic
cobalt,cobalt salt,[Co+2],58.933,1,inorganic
chromium (II),chromium (II) salt,[Cr+2],51.996,1,inorganic
chromium (III),chromium (III) salt,[Cr+3],51.996,1,inorganic
iron (II),ferrous salt,[Fe+2],55.845,1,inorganic
iron (III),ferric salt,[Fe+3],55.845,1,inorganic
zinc (II),zinc (II) salt,[Zn+2],65.39,1,inorganic
manganese (II),manganese (II) salt,[Mn+2],54.938,1,inorganic
manganese (I),manganese (I) salt,[Mn+],54.938,1,inorganic
nickel (II),nickel (II) salt,[Ni+2],58.693,1,inorganic
antimony (III),antimony (III) salt,[Sb+3],121.76,1,inorganic
lead (II),lead (II) salt,[PbH2+2],209.216,1,inorganic
tin (II),tin (II) salt,[SnH2+2],120.727,1,inorganic
silver,silver salt,[Ag+],107.868,1,inorganic
gadolinium,gadolinium cation,[Gd+3],157.25,1,inorganic
hydrogen cyanide,cyanide,C#N,27.026,2,inorganic
cyanic acid,cyanate,N#CO,43.025,3,inorganic
carbonic acid,carbonate,O=C(O)O,62.024,4,inorganic
nitric acid,nitrate,O=[N+]([O-])O,63.012,4,inorganic
nitrous acid,nitrite,O=NO,47.013,3,inorganic
phosphoric acid,phosphate,O=P(O)(O)O,97.994,5,inorganic
sulfuric acid,sulfate,O=S(=O)(O)O,98.079,5,inorganic
perchloric acid,perchlorate,[O-][Cl+3]([O-])([O-])O,100.457,5,inorganic
hydrochloride,chloride,Cl,36.461,1,inorganic
hydrobromide,bromide,Br,80.912,1,inorganic
hydroiodide,iodide,I,127.912,1,inorganic
ammonia,ammonium,N,17.031,1,inorganic
hydrate (water),hydroxide,O,18.015,1,inorganic
hexafluorophosphate ion,hexafluorophosphate,F[P-](F)(F)(F)(F)F,144.962,7,inorganic
tetrafluoroborate ion,tetrafluoroborate,F[B-](F)(F)F,86.804,5,inorganic
tetrachloroplatium,tetrachloroplatinate,Cl[Pt-2](Cl)(Cl)Cl,336.89,5,inorganic
selenic acid,selenate,O=[Se](=O)(O)O,144.972,5,inorganic
selenious acid,selenite,O=[Se](O)O,128.973,4,inorganic
Thiocyanic acid,thiocyanate,N#CS,59.093,3,inorganic
tetrachloroferrate (III),tetrachloroferrate (III),Cl[Fe-](Cl)(Cl)Cl,197.657,5,inorganic
formic acid,formate,O=CO,46.025000000000006,3,organic
acetic acid,acetate,CC(=O)O,60.052,4,organic
maleic acid,maleate,O=C(O)/C=C\C(=O)O,116.072,8,organic
fumaric acid,fumarate,O=C(O)/C=C/C(=O)O,116.072,8,organic
trifluoromethanesulfonic acid,trifluoromethanesulfonate,O=S(=O)(O)C(F)(F)F,150.077,8,organic
methanesulfonic acid,mesylate,CS(=O)(=O)O,96.107,5,organic
succinic acid,succinate,O=C(O)CCC(=O)O,118.088,8,organic
pamoic acid,pamoate,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,388.375,29,organic
p-toluenesulfonic acid,p-toluenesulfonate,Cc1ccc(S(=O)(=O)O)cc1,172.205,11,organic
citric acid,citrate,O=C(O)CC(O)(CC(=O)O)C(=O)O,192.123,13,organic
tartaric acid,tartrate,O=C(O)[C@@H](O)[C@@H](O)C(=O)O,150.086,10,organic
sulfosalicylic acid,sulfosalicylate,O=C(O)c1cc(S(=O)(=O)O)ccc1O,218.186,14,organic
p-toluenesulfonic acid,p-tosylate,Cc1ccc(S(=O)(=O)O)cc1,172.205,11,organic
niacin,niacinate,O=C(O)c1cccnc1,123.111,9,organic
salicylic acid,salicylate,O=C([O-])c1ccccc1O,137.114,10,organic
tetramethylammonium,tetramethylammonium,C[N+](C)(C)C,74.147,5,organic
methylsulfuric acid,methylsulfate,COS(=O)(=O)O,112.106,6,organic
lactic acid,lactate,C[C@H](O)C(=O)O,90.07799999999999,6,organic
oxalic acid,oxalate,O=C(O)C(=O)O,90.03399999999999,6,organic
piperazine,piperazine,C1CNCCN1,86.138,6,organic
diethylamine,diethylamine,CCNCC,73.139,5,organic
benzoic acid,benzoate,O=C(O)c1ccccc1,122.12299999999996,9,organic
naphthalene-2-sulfonic acid,napsylate,O=S(=O)(O)c1ccc2ccccc2c1,208.238,14,organic
"naphthalene-1,5-disulfonic acid","1,5-naphtalenedisulfonate",O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12,288.302,18,organic
malic acid,malate,O=C(O)CC(O)C(=O)O,134.087,9,organic
iodomethane,methyl iodide,CI,141.939,2,organic
propionic acid,propionate,CCC(=O)O,74.079,5,organic
Ethanedisulfonic acid,edisylate,O=S(=O)(O)CCS(=O)(=O)O,190.19799999999998,10,organic
methylcobalt,methylcobalt,C[Co+2],73.968,2,inorganic
mucate,mucate,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O,210.138,14,organic
aluminum,aluminum,O[Al](O)[Al](O)O,121.99199999999999,6,inorganic
dimethylamine,dimethylamine,CNC,45.085,3,organic
ethylammonium,ethylammonium,CCN,45.084999999999994,3,organic
carbon monoxide,carbon monoxide,[C-]#[O+],28.009999999999998,2,inorganic
diethyl phosphoric acid,diethyl phosphate,CCOP(=O)(O)OCC,154.10199999999998,9,organic
bis(trifluoromethylsulfonyl)imide,bis(trifluoromethylsulfonyl)imide,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,281.155,15,organic
ethyl sulfuric acid,ethyl sulfate,CCOS(=O)(=O)O,126.13299999999998,7,organic
monoethanolamine,monoethanolamine,NCCO,61.083999999999996,4,organic
estolate,estolate,CCCCCCCCCCCCOS(=O)(=O)O,266.40299999999996,17,organic
saccharin,saccharide,O=C1NS(=O)(=O)c2ccccc21,183.18799999999996,12,organic
hydrogen peroxide,peroxide,OO,34.014,2,inorganic
dodecyl sulfuric acid,dodecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)O,266.40299999999996,17,organic
triethanolamine,triethanolamine,OCCN(CCO)CCO,149.19,10,organic
lauric acid,laurate,CCCCCCCCCCCC(=O)O,200.32199999999997,14,organic
dicyanamide(1),dicyanamide(1),N#CN=C=[N-],66.043,5,organic
dicyanamide(2),dicyanamide(2),N#C[N-]C#N,66.043,5,organic
dimethyl phosphoric acid,dimethyl phosphate,COP(=O)(O)OC,126.04799999999997,7,organic
